Index,date,regional_code,regional_name,organisation_code,organisation_name,diagnostic_id,diagnostic_test_name,total_waiting_list,number_waiting_6_plus_weeks,number_waiting_13_plus_weeks,percentage_waiting_6_plus_weeks,planned_tests_or_procedures,unscheduled_tests_or_procedures,waiting_list_tests_or_procedures_excluding_planned
568,01/10/2024,Y61,East of England ,RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",6,Audiology - Audiology Assessments,724,452,109,0.624,12,0,218
584,01/10/2024,Y61,East of England ,S3H9L,The Hamptons Hospital Ltd,6,Audiology - Audiology Assessments,4,1,0,0.25,0,0,0
591,01/10/2024,Y61,East of England ,RDE,East Suffolk and North Essex NHS Foundation Trust,6,Audiology - Audiology Assessments,334,3,1,0.009,5,0,667
599,01/10/2024,Y61,East of England ,NT315,Spire Bushey Hospital,6,Audiology - Audiology Assessments,0,0,0,0,0,0,15
603,01/10/2024,Y61,East of England ,RWH,East and North Hertfordshire NHS Trust,6,Audiology - Audiology Assessments,8222,7574,6670,0.921,0,0,991
606,01/10/2024,Y61,East of England ,RYV,Cambridgeshire Community Services NHS Trust,6,Audiology - Audiology Assessments,2003,1412,1071,0.705,0,0,457
611,01/10/2024,Y61,East of England ,RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,435,71,4,0.163,326,0,579
935,01/10/2024,Y61,East of England ,NQA,Provide,6,Audiology - Audiology Assessments,160,13,0,0.081,0,0,136
6155,01/10/2024,Y56,London ,RPG,Oxleas NHS Foundation Trust,6,Audiology - Audiology Assessments,119,103,52,0.866,83,0,43
6156,01/10/2024,Y56,London ,RAL,Royal Free London NHS Foundation Trust,6,Audiology - Audiology Assessments,363,0,0,0,0,360,588
6157,01/10/2024,Y56,London ,RP4,Great Ormond Street Hospital For Children NHS Foundation Trust,6,Audiology - Audiology Assessments,65,9,0,0.138,0,0,655
6173,01/10/2024,Y56,London ,RKL,West London NHS Trust,6,Audiology - Audiology Assessments,298,0,0,0,588,0,0
6189,01/10/2024,Y56,London ,RJ7,St George's University Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,4,0,0,0,2,0,548
6192,01/10/2024,Y56,London ,RAS,The Hillingdon Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,559,38,5,0.068,227,0,533
6207,01/10/2024,Y56,London ,RJ2,Lewisham and Greenwich NHS Trust,6,Audiology - Audiology Assessments,60,0,0,0,0,0,79
6215,01/10/2024,Y56,London ,RAT,North East London NHS Foundation Trust,6,Audiology - Audiology Assessments,681,481,277,0.706,42,0,180
6229,01/10/2024,Y56,London ,RRV,University College London Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,90,20,0,0.222,0,0,128
6235,01/10/2024,Y56,London ,RKE,Whittington Health NHS Trust,6,Audiology - Audiology Assessments,534,13,3,0.024,0,0,594
6238,01/10/2024,Y56,London ,R1K,London North West University Healthcare NHS Trust,6,Audiology - Audiology Assessments,252,85,29,0.337,0,0,316
6424,01/10/2024,Y56,London ,RAX,Kingston Hospital NHS Foundation Trust,6,Audiology - Audiology Assessments,478,109,8,0.228,90,0,273
6467,01/10/2024,Y56,London ,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",6,Audiology - Audiology Assessments,228,0,0,0,0,34,627
6494,01/10/2024,Y56,London ,R1H,Barts Health NHS Trust,6,Audiology - Audiology Assessments,2859,1347,1119,0.471,96,0,1170
6495,01/10/2024,Y56,London ,NQV,Bromley Healthcare,6,Audiology - Audiology Assessments,125,2,0,0.016,58,0,114
6498,01/10/2024,Y56,London ,RV3,Central and North West London NHS Foundation Trust,6,Audiology - Audiology Assessments,121,0,0,0,0,0,136
6499,01/10/2024,Y56,London ,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,6,Audiology - Audiology Assessments,45,0,0,0,0,0,424
6500,01/10/2024,Y56,London ,RJ6,Croydon Health Services NHS Trust,6,Audiology - Audiology Assessments,1720,1007,440,0.585,0,0,399
6502,01/10/2024,Y56,London ,RVR,Epsom and St Helier University Hospitals NHS Trust,6,Audiology - Audiology Assessments,271,25,17,0.092,6,0,1661
6504,01/10/2024,Y56,London ,RJ1,Guy's and St Thomas' NHS Foundation Trust,6,Audiology - Audiology Assessments,947,188,34,0.199,635,5,682
6505,01/10/2024,Y56,London ,RY9,Hounslow and Richmond Community Healthcare NHS Trust,6,Audiology - Audiology Assessments,22,0,0,0,0,0,76
6508,01/10/2024,Y56,London ,RYJ,Imperial College Healthcare NHS Trust,6,Audiology - Audiology Assessments,446,11,2,0.025,217,0,918
6509,01/10/2024,Y56,London ,RJZ,King's College Hospital NHS Foundation Trust,6,Audiology - Audiology Assessments,5,3,2,0.6,0,0,23
7502,01/10/2024,Y60,Midlands ,RNQ,Kettering General Hospital NHS Foundation Trust,6,Audiology - Audiology Assessments,437,30,0,0.069,327,0,544
7517,01/10/2024,Y60,Midlands ,RRE,Midlands Partnership University NHS Foundation Trust,6,Audiology - Audiology Assessments,412,194,136,0.471,63,0,73
7530,01/10/2024,Y60,Midlands ,RT5,Leicestershire Partnership NHS Trust,6,Audiology - Audiology Assessments,1885,1500,1175,0.796,0,0,487
8062,01/10/2024,Y60,Midlands ,RLT,George Eliot Hospital NHS Trust,6,Audiology - Audiology Assessments,0,0,0,0,0,0,64
8064,01/10/2024,Y60,Midlands ,RFS,Chesterfield Royal Hospital NHS Foundation Trust,6,Audiology - Audiology Assessments,1778,1225,753,0.689,709,0,495
8266,01/10/2024,Y60,Midlands ,RXW,The Shrewsbury and Telford Hospital NHS Trust,6,Audiology - Audiology Assessments,908,228,23,0.251,54,56,1324
8267,01/10/2024,Y60,Midlands ,RWE,University Hospitals of Leicester NHS Trust,6,Audiology - Audiology Assessments,1265,127,0,0.1,0,0,1634
8268,01/10/2024,Y60,Midlands ,RJE,University Hospitals of North Midlands NHS Trust,6,Audiology - Audiology Assessments,441,33,8,0.075,0,0,402
8271,01/10/2024,Y60,Midlands ,RRK,University Hospitals Birmingham NHS Foundation Trust,6,Audiology - Audiology Assessments,372,109,20,0.293,948,0,0
8272,01/10/2024,Y60,Midlands ,RLQ,Wye Valley NHS Trust,6,Audiology - Audiology Assessments,328,117,55,0.357,1,0,312
8275,01/10/2024,Y60,Midlands ,NYN,Specsavers Hearcare Group Ltd,6,Audiology - Audiology Assessments,5970,309,7,0.052,23018,0,0
8281,01/10/2024,Y60,Midlands ,RXK,Sandwell and West Birmingham Hospitals NHS Trust,6,Audiology - Audiology Assessments,1707,506,27,0.296,169,0,741
8284,01/10/2024,Y60,Midlands ,RWP,Worcestershire Acute Hospitals NHS Trust,6,Audiology - Audiology Assessments,1450,1057,865,0.729,0,0,1155
8295,01/10/2024,Y60,Midlands ,RWD,United Lincolnshire Hospitals NHS Trust,6,Audiology - Audiology Assessments,2146,1530,1141,0.713,97,0,938
8297,01/10/2024,Y60,Midlands ,RK5,Sherwood Forest Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,437,124,8,0.284,0,0,398
8323,01/10/2024,Y60,Midlands ,RL4,The Royal Wolverhampton NHS Trust,6,Audiology - Audiology Assessments,327,76,26,0.232,531,0,305
8326,01/10/2024,Y60,Midlands ,R1D,Shropshire Community Health NHS Trust,6,Audiology - Audiology Assessments,361,77,5,0.213,19,0,186
8328,01/10/2024,Y60,Midlands ,NXX,Scrivens Ltd,6,Audiology - Audiology Assessments,2256,0,0,0,0,0,2256
8414,01/10/2024,Y60,Midlands ,RX1,Nottingham University Hospitals NHS Trust,6,Audiology - Audiology Assessments,850,318,53,0.374,320,0,474
8514,01/10/2024,Y60,Midlands ,RNA,The Dudley Group NHS Foundation Trust,6,Audiology - Audiology Assessments,418,58,1,0.139,5,0,364
8539,01/10/2024,Y60,Midlands ,RKB,University Hospitals Coventry and Warwickshire NHS Trust,6,Audiology - Audiology Assessments,839,356,194,0.424,0,0,582
8541,01/10/2024,Y60,Midlands ,RTG,University Hospitals of Derby and Burton NHS Foundation Trust,6,Audiology - Audiology Assessments,1156,725,532,0.627,216,783,156
8567,01/10/2024,Y60,Midlands ,RNS,Northampton General Hospital NHS Trust,6,Audiology - Audiology Assessments,368,15,0,0.041,383,8,634
8595,01/10/2024,Y60,Midlands ,RJC,South Warwickshire University NHS Foundation Trust,6,Audiology - Audiology Assessments,245,75,58,0.306,90,454,284
8596,01/10/2024,Y60,Midlands ,RBK,Walsall Healthcare NHS Trust,6,Audiology - Audiology Assessments,245,26,1,0.106,3,0,857
8598,01/10/2024,Y60,Midlands ,RYG,Coventry and Warwickshire Partnership NHS Trust,6,Audiology - Audiology Assessments,133,1,0,0.008,8,0,118
8768,01/10/2024,Y60,Midlands ,RQ3,Birmingham Women's and Children's NHS Foundation Trust,6,Audiology - Audiology Assessments,290,21,8,0.072,291,0,490
15096,01/10/2024,Y63,North East and Yorkshire ,RCU,Sheffield Children's NHS Foundation Trust,6,Audiology - Audiology Assessments,201,5,0,0.025,543,0,414
15100,01/10/2024,Y63,North East and Yorkshire ,RTD,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,5008,3954,2917,0.79,0,0,1410
15101,01/10/2024,Y63,North East and Yorkshire ,NQH,Novus Health Ltd,6,Audiology - Audiology Assessments,0,0,0,0,160,19,253
15103,01/10/2024,Y63,North East and Yorkshire ,R0B,South Tyneside and Sunderland NHS Foundation Trust,6,Audiology - Audiology Assessments,769,202,56,0.263,0,0,1301
15105,01/10/2024,Y63,North East and Yorkshire ,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,2187,1978,1763,0.904,0,0,274
15106,01/10/2024,Y63,North East and Yorkshire ,RVW,North Tees and Hartlepool NHS Foundation Trust,6,Audiology - Audiology Assessments,249,43,0,0.173,0,0,298
15108,01/10/2024,Y63,North East and Yorkshire ,RR8,Leeds Teaching Hospitals NHS Trust,6,Audiology - Audiology Assessments,363,20,0,0.055,0,4,358
15111,01/10/2024,Y63,North East and Yorkshire ,RXP,County Durham and Darlington NHS Foundation Trust,6,Audiology - Audiology Assessments,181,27,1,0.149,618,0,1210
15112,01/10/2024,Y63,North East and Yorkshire ,RCB,York and Scarborough Teaching Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,916,345,253,0.377,83,0,544
15115,01/10/2024,Y63,North East and Yorkshire ,RY6,Leeds Community Healthcare NHS Trust,6,Audiology - Audiology Assessments,687,311,128,0.453,70,0,195
15144,01/10/2024,Y63,North East and Yorkshire ,RXG,South West Yorkshire Partnership NHS Foundation Trust,6,Audiology - Audiology Assessments,221,88,3,0.398,107,0,93
15164,01/10/2024,Y63,North East and Yorkshire ,NID,The Living Care Group,6,Audiology - Audiology Assessments,461,0,0,0,461,0,0
15180,01/10/2024,Y63,North East and Yorkshire ,RFF,Barnsley Hospital NHS Foundation Trust,6,Audiology - Audiology Assessments,169,34,1,0.201,352,0,0
16765,01/10/2024,Y63,North East and Yorkshire ,NT351,Spire Hull and East Riding Hospital,6,Audiology - Audiology Assessments,0,0,0,0,0,0,5
16771,01/10/2024,Y63,North East and Yorkshire ,RXF,Mid Yorkshire Teaching NHS Trust,6,Audiology - Audiology Assessments,350,1,0,0.003,136,0,1132
16772,01/10/2024,Y63,North East and Yorkshire ,NEQ,Phoenix Health Solutions Limited HQ,6,Audiology - Audiology Assessments,32,2,0,0.063,9,0,0
16777,01/10/2024,Y63,North East and Yorkshire ,RCF,Airedale NHS Foundation Trust,6,Audiology - Audiology Assessments,449,16,6,0.036,101,0,416
16785,01/10/2024,Y63,North East and Yorkshire ,RNN,North Cumbria Integrated Care NHS Foundation Trust,6,Audiology - Audiology Assessments,492,11,1,0.022,256,22,713
16793,01/10/2024,Y63,North East and Yorkshire ,RTR,South Tees Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,653,207,19,0.317,38,0,1032
16795,01/10/2024,Y63,North East and Yorkshire ,RWA,Hull University Teaching Hospitals NHS Trust,6,Audiology - Audiology Assessments,432,3,0,0.007,0,0,597
16799,01/10/2024,Y63,North East and Yorkshire ,RFR,The Rotherham NHS Foundation Trust,6,Audiology - Audiology Assessments,412,0,0,0,31,0,570
16800,01/10/2024,Y63,North East and Yorkshire ,RCD,Harrogate and District NHS Foundation Trust,6,Audiology - Audiology Assessments,291,157,118,0.54,0,0,958
16806,01/10/2024,Y63,North East and Yorkshire ,RR7,Gateshead Health NHS Foundation Trust,6,Audiology - Audiology Assessments,576,211,41,0.366,0,0,1421
16810,01/10/2024,Y63,North East and Yorkshire ,RAE,Bradford Teaching Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,666,166,24,0.249,0,0,445
16847,01/10/2024,Y63,North East and Yorkshire ,B86059,Meanwood Health Centre,6,Audiology - Audiology Assessments,259,20,0,0.077,147,0,112
16849,01/10/2024,Y63,North East and Yorkshire ,NX2,Minor Ops Ltd,6,Audiology - Audiology Assessments,20,0,0,0,0,0,50
16852,01/10/2024,Y63,North East and Yorkshire ,RWY,Calderdale and Huddersfield NHS Foundation Trust,6,Audiology - Audiology Assessments,176,0,0,0,118,0,536
16857,01/10/2024,Y63,North East and Yorkshire ,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,159,13,0,0.082,0,0,250
16858,01/10/2024,Y63,North East and Yorkshire ,RJL,Northern Lincolnshire and Goole NHS Foundation Trust,6,Audiology - Audiology Assessments,1492,695,274,0.466,0,0,512
20001,01/10/2024,Y62,North West ,NVC12,Oaklands Hospital,6,Audiology - Audiology Assessments,1,0,0,0,0,0,0
20037,01/10/2024,Y62,North West ,RY2,Bridgewater Community Healthcare NHS Foundation Trust,6,Audiology - Audiology Assessments,232,88,32,0.379,271,0,187
20038,01/10/2024,Y62,North West ,RMC,Bolton NHS Foundation Trust,6,Audiology - Audiology Assessments,488,225,81,0.461,0,0,796
20041,01/10/2024,Y62,North West ,RWJ,Stockport NHS Foundation Trust,6,Audiology - Audiology Assessments,832,606,472,0.728,0,0,200
20042,01/10/2024,Y62,North West ,NT339,Spire Regency Hospital,6,Audiology - Audiology Assessments,0,0,0,0,0,0,10
20043,01/10/2024,Y62,North West ,RXL,Blackpool Teaching Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,343,17,5,0.05,456,0,292
20049,01/10/2024,Y62,North West ,RMP,Tameside and Glossop Integrated Care NHS Foundation Trust,6,Audiology - Audiology Assessments,97,5,0,0.052,13,0,519
20052,01/10/2024,Y62,North West ,RXR,East Lancashire Hospitals NHS Trust,6,Audiology - Audiology Assessments,236,8,0,0.034,0,0,615
20057,01/10/2024,Y62,North West ,RBL,Wirral University Teaching Hospital NHS Foundation Trust,6,Audiology - Audiology Assessments,3,1,0,0.333,43,0,97
20058,01/10/2024,Y62,North West ,NT324,Spire Cheshire Hospital,6,Audiology - Audiology Assessments,0,0,0,0,0,0,21
20060,01/10/2024,Y62,North West ,R0A,Manchester University NHS Foundation Trust,6,Audiology - Audiology Assessments,1127,95,0,0.084,19,0,462
20061,01/10/2024,Y62,North West ,RRF,"Wrightington, Wigan and Leigh NHS Foundation Trust",6,Audiology - Audiology Assessments,286,3,0,0.01,237,0,784
20062,01/10/2024,Y62,North West ,RM3,Northern Care Alliance NHS Foundation Trust,6,Audiology - Audiology Assessments,1397,214,19,0.153,604,0,1155
20065,01/10/2024,Y62,North West ,NVG01,Fairfield Hospital,6,Audiology - Audiology Assessments,18,0,0,0,0,0,22
20162,01/10/2024,Y62,North West ,RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,6,Audiology - Audiology Assessments,423,6,0,0.014,0,0,957
20165,01/10/2024,Y62,North West ,RXN,Lancashire Teaching Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,554,260,95,0.469,0,0,663
20169,01/10/2024,Y62,North West ,REM,Liverpool University Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,149,3,1,0.02,295,7,487
20170,01/10/2024,Y62,North West ,RJN,East Cheshire NHS Trust,6,Audiology - Audiology Assessments,164,21,1,0.128,95,0,348
20171,01/10/2024,Y62,North West ,RBN,Mersey and West Lancashire Teaching Hospitals NHS Trust,6,Audiology - Audiology Assessments,553,65,27,0.118,138,0,617
20193,01/10/2024,Y62,North West ,NRP,Beacon Medical Services Group Limited,6,Audiology - Audiology Assessments,0,0,0,0,120,0,115
20211,01/10/2024,Y62,North West ,DXV,Omnes Healthcare Ltd,6,Audiology - Audiology Assessments,814,671,424,0.824,3,0,0
20215,01/10/2024,Y62,North West ,RBT,Mid Cheshire Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,366,0,0,0,0,0,612
20216,01/10/2024,Y62,North West ,NPF01,The Industrial Diagnostics Company,6,Audiology - Audiology Assessments,22,0,0,0,0,0,60
20217,01/10/2024,Y62,North West ,NT337,Spire Liverpool Hospital,6,Audiology - Audiology Assessments,0,0,0,0,0,0,32
20218,01/10/2024,Y62,North West ,RWW,Warrington and Halton Teaching Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,338,16,0,0.047,0,0,944
20243,01/10/2024,Y62,North West ,RJR,Countess of Chester Hospital NHS Foundation Trust,6,Audiology - Audiology Assessments,284,40,10,0.141,423,0,232
23446,01/10/2024,Y59,South East ,RTH,Oxford University Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,2081,1737,1486,0.835,25,3,113
23451,01/10/2024,Y59,South East ,RW1,Hampshire and Isle of Wight Healthcare NHS Foundation Trust,6,Audiology - Audiology Assessments,89,0,0,0,0,0,150
23452,01/10/2024,Y59,South East ,NDJ,First Community Health and Care CIC,6,Audiology - Audiology Assessments,563,307,106,0.545,227,0,0
23454,01/10/2024,Y59,South East ,RN5,Hampshire Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,800,42,2,0.053,0,0,903
23470,01/10/2024,Y59,South East ,NV1,Inhealth Limited,6,Audiology - Audiology Assessments,1983,359,78,0.181,1,0,1455
23476,01/10/2024,Y59,South East ,RYY,Kent Community Health NHS Foundation Trust,6,Audiology - Audiology Assessments,490,7,0,0.014,454,0,269
23503,01/10/2024,Y59,South East ,NVM,Epsomedical Group,6,Audiology - Audiology Assessments,16,2,0,0.125,24,0,8
23506,01/10/2024,Y59,South East ,RXC,East Sussex Healthcare NHS Trust,6,Audiology - Audiology Assessments,451,26,5,0.058,0,0,1199
23579,01/10/2024,Y59,South East ,RHW,Royal Berkshire NHS Foundation Trust,6,Audiology - Audiology Assessments,583,178,10,0.305,84,0,723
23584,01/10/2024,Y59,South East ,RHU,Portsmouth Hospitals University National Health Service Trust,6,Audiology - Audiology Assessments,2264,1647,1069,0.727,0,0,326
23587,01/10/2024,Y59,South East ,RPA,Medway NHS Foundation Trust,6,Audiology - Audiology Assessments,748,59,0,0.079,54,296,578
23591,01/10/2024,Y59,South East ,RWF,Maidstone and Tunbridge Wells NHS Trust,6,Audiology - Audiology Assessments,496,0,0,0,0,4,1135
23592,01/10/2024,Y59,South East ,G82050,Sydenham House Medical Centre,6,Audiology - Audiology Assessments,0,0,0,0,18,0,0
23593,01/10/2024,Y59,South East ,RA2,Royal Surrey County Hospital NHS Foundation Trust,6,Audiology - Audiology Assessments,258,167,124,0.647,0,0,103
23594,01/10/2024,Y59,South East ,RDU,Frimley Health NHS Foundation Trust,6,Audiology - Audiology Assessments,711,318,94,0.447,0,0,176
23604,01/10/2024,Y59,South East ,RYR,University Hospitals Sussex NHS Foundation Trust,6,Audiology - Audiology Assessments,1047,716,476,0.684,173,651,729
23612,01/10/2024,Y59,South East ,RVV,East Kent Hospitals University NHS Foundation Trust,6,Audiology - Audiology Assessments,224,102,41,0.455,0,0,295
23614,01/10/2024,Y59,South East ,RHM,University Hospital Southampton NHS Foundation Trust,6,Audiology - Audiology Assessments,288,8,1,0.028,170,0,185
23615,01/10/2024,Y59,South East ,RDR,Sussex Community NHS Foundation Trust,6,Audiology - Audiology Assessments,160,0,0,0,0,0,154
23632,01/10/2024,Y59,South East ,RWX,Berkshire Healthcare NHS Foundation Trust,6,Audiology - Audiology Assessments,364,5,0,0.014,346,196,0
23634,01/10/2024,Y59,South East ,RXQ,Buckinghamshire Healthcare NHS Trust,6,Audiology - Audiology Assessments,432,2,0,0.005,651,0,0
23735,01/10/2024,Y59,South East ,NNE,Dorking Healthcare Limited (DHC),6,Audiology - Audiology Assessments,0,0,0,0,90,0,0
23762,01/10/2024,Y59,South East ,NWT,Action For Deafness,6,Audiology - Audiology Assessments,802,7,0,0.009,0,0,503
23776,01/10/2024,Y59,South East ,RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,338,0,0,0,0,32,163
23778,01/10/2024,Y59,South East ,NWF01,Benenden Hospital,6,Audiology - Audiology Assessments,0,0,0,0,34,0,0
26947,01/10/2024,Y58,South West ,RH8,Royal Devon University Healthcare NHS Foundation Trust,6,Audiology - Audiology Assessments,314,1,0,0.003,0,0,273
26965,01/10/2024,Y58,South West ,REF,Royal Cornwall Hospitals NHS Trust,6,Audiology - Audiology Assessments,88,1,0,0.011,334,308,189
26996,01/10/2024,Y58,South West ,RA9,Torbay and South Devon NHS Foundation Trust,6,Audiology - Audiology Assessments,566,49,5,0.087,0,0,957
27008,01/10/2024,Y58,South West ,RNZ,Salisbury NHS Foundation Trust,6,Audiology - Audiology Assessments,596,76,11,0.128,94,0,273
27017,01/10/2024,Y58,South West ,RN3,Great Western Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,693,60,20,0.087,475,0,765
27021,01/10/2024,Y58,South West ,RH5,Somerset NHS Foundation Trust,6,Audiology - Audiology Assessments,921,59,8,0.064,33,0,847
27028,01/10/2024,Y58,South West ,NFC01,The Outside Clinic HQ,6,Audiology - Audiology Assessments,1516,363,175,0.239,0,0,1220
27037,01/10/2024,Y58,South West ,NQT5K,St Martins Hospital,6,Audiology - Audiology Assessments,308,97,18,0.315,486,0,351
27064,01/10/2024,Y58,South West ,NX0,Chime Social Enterprise,6,Audiology - Audiology Assessments,5351,3614,1914,0.675,912,0,0
27111,01/10/2024,Y58,South West ,RD1,Royal United Hospitals Bath NHS Foundation Trust,6,Audiology - Audiology Assessments,335,32,12,0.096,115,0,372
27130,01/10/2024,Y58,South West ,NCL01,Express Diagnostics (Derriford),6,Audiology - Audiology Assessments,149,0,0,0,0,0,227
27139,01/10/2024,Y58,South West ,RTE,Gloucestershire Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,916,17,1,0.019,0,0,1009
27157,01/10/2024,Y58,South West ,RDY,Dorset Healthcare University NHS Foundation Trust,6,Audiology - Audiology Assessments,1689,171,3,0.101,0,0,823
27373,01/10/2024,Y58,South West ,RA7,University Hospitals Bristol and Weston NHS Foundation Trust,6,Audiology - Audiology Assessments,1119,164,9,0.147,0,0,1650
27401,01/10/2024,Y58,South West ,RK9,University Hospitals Plymouth NHS Trust,6,Audiology - Audiology Assessments,507,5,0,0.01,0,0,1458
630,01/11/2024,Y61,East of England ,RGR,West Suffolk NHS Foundation Trust,6,Audiology - Audiology Assessments,886,401,148,0.453,0,0,416
631,01/11/2024,Y61,East of England ,RWG,West Hertfordshire Teaching Hospitals NHS Trust,6,Audiology - Audiology Assessments,606,125,5,0.206,0,0,143
643,01/11/2024,Y61,East of England ,RQW,The Princess Alexandra Hospital NHS Trust,6,Audiology - Audiology Assessments,1210,894,600,0.739,133,2,266
646,01/11/2024,Y61,East of England ,RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",6,Audiology - Audiology Assessments,689,533,145,0.774,13,0,154
654,01/11/2024,Y61,East of England ,S3H9L,The Hamptons Hospital Ltd,6,Audiology - Audiology Assessments,22,0,0,0,0,0,20
672,01/11/2024,Y61,East of England ,NT315,Spire Bushey Hospital,6,Audiology - Audiology Assessments,0,0,0,0,0,0,20
2786,01/11/2024,Y61,East of England ,RC9,Bedfordshire Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,620,438,235,0.706,0,0,173
2802,01/11/2024,Y61,East of England ,RGT,Cambridge University Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,492,145,50,0.295,333,0,1001
2804,01/11/2024,Y61,East of England ,RDE,East Suffolk and North Essex NHS Foundation Trust,6,Audiology - Audiology Assessments,432,0,0,0,3,0,555
2817,01/11/2024,Y61,East of England ,RWH,East and North Hertfordshire NHS Trust,6,Audiology - Audiology Assessments,7412,6952,6272,0.938,0,0,1035
2822,01/11/2024,Y61,East of England ,RYV,Cambridgeshire Community Services NHS Trust,6,Audiology - Audiology Assessments,1992,1564,1024,0.785,0,0,245
2863,01/11/2024,Y61,East of England ,RY4,Hertfordshire Community NHS Trust,6,Audiology - Audiology Assessments,1016,800,641,0.787,0,0,234
2911,01/11/2024,Y61,East of England ,RAJ,Mid and South Essex NHS Foundation Trust,6,Audiology - Audiology Assessments,1111,55,15,0.05,212,0,1478
2920,01/11/2024,Y61,East of England ,RGP,James Paget University Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,186,8,0,0.043,43,0,241
2922,01/11/2024,Y61,East of England ,RD8,Milton Keynes University Hospital NHS Foundation Trust,6,Audiology - Audiology Assessments,1159,946,739,0.816,3,0,179
2931,01/11/2024,Y61,East of England ,NT316,Spire Harpenden Hospital,6,Audiology - Audiology Assessments,0,0,0,0,0,0,16
2932,01/11/2024,Y61,East of England ,NQA,Provide,6,Audiology - Audiology Assessments,153,16,0,0.105,0,0,184
2933,01/11/2024,Y61,East of England ,RGN,North West Anglia NHS Foundation Trust,6,Audiology - Audiology Assessments,597,465,228,0.779,487,0,498
2936,01/11/2024,Y61,East of England ,RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,374,54,6,0.144,295,0,579
5651,01/11/2024,Y56,London ,RKE,Whittington Health NHS Trust,6,Audiology - Audiology Assessments,661,35,0,0.053,0,0,508
7053,01/11/2024,Y56,London ,RKL,West London NHS Trust,6,Audiology - Audiology Assessments,277,0,0,0,690,0,0
7081,01/11/2024,Y56,London ,RVR,Epsom and St Helier University Hospitals NHS Trust,6,Audiology - Audiology Assessments,286,32,21,0.112,4,0,1510
7087,01/11/2024,Y56,London ,RJZ,King's College Hospital NHS Foundation Trust,6,Audiology - Audiology Assessments,6,4,3,0.667,0,0,52
7090,01/11/2024,Y56,London ,RP4,Great Ormond Street Hospital For Children NHS Foundation Trust,6,Audiology - Audiology Assessments,70,8,0,0.114,2,0,664
7094,01/11/2024,Y56,London ,RJ6,Croydon Health Services NHS Trust,6,Audiology - Audiology Assessments,1695,997,441,0.588,0,0,365
7096,01/11/2024,Y56,London ,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,6,Audiology - Audiology Assessments,65,0,0,0,0,0,411
7103,01/11/2024,Y56,London ,K4F4F,Audiological Science Ltd,6,Audiology - Audiology Assessments,398,0,0,0,1090,0,0
7107,01/11/2024,Y56,London ,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",6,Audiology - Audiology Assessments,249,0,0,0,0,36,566
7109,01/11/2024,Y56,London ,R1H,Barts Health NHS Trust,6,Audiology - Audiology Assessments,3285,1949,1591,0.593,89,0,948
7110,01/11/2024,Y56,London ,NQV,Bromley Healthcare,6,Audiology - Audiology Assessments,132,8,0,0.061,42,0,96
7111,01/11/2024,Y56,London ,RV3,Central and North West London NHS Foundation Trust,6,Audiology - Audiology Assessments,93,4,0,0.043,0,0,177
7207,01/11/2024,Y56,London ,RAS,The Hillingdon Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,483,30,2,0.062,176,0,440
7214,01/11/2024,Y56,London ,RJ7,St George's University Hospitals NHS Foundation Trust,6,Audiology - Audiology Assessments,6,0,0,0,1,0,631
